"category","result.status","protectionPolicy.name","result.error.code","host.name","asset.name","inventorySource.type","result.error.detailedDescription","result.error.reason","result.error.extendedReason","result.error.remediation"
"PROTECT","FAILED","Kubernetes Backups - TEST PLC","ABK0018","","vmware-system-csi","KUBERNETES","The backup of this Kubernetes namespace was not successful because of a problem on the protection storage.","Unable to back up namespace 'vmware-system-csi' in Kubernetes cluster 'Cluster-01' because of a protection storage issue.","Unable to setup backup.  Unable to create directory 'Kubernetes_Backups_-_TEST_PLC-ppdm-01-a2e89/PLCTLP-694fb9a3-e763-4352-8b08-e0b323f863f0/Stagings/e6e4041f-3e15-47bf-b03c-9128d568a63c/vmware-system-csi/1731594892213643903':  [5005] No space left on device","Verify that the PowerProtect DD System is fully functional and that the DD Boost ports are open between the Kubernetes cluster and the PowerProtect DD System."
"PROTECT","FAILED","Kubernetes Backups - TEST PLC","ABK0018","","mysql","KUBERNETES","The backup of this Kubernetes namespace was not successful because of a problem on the protection storage.","Unable to back up namespace 'mysql' in Kubernetes cluster 'Cluster-01' because of a protection storage issue.","Unable to setup backup.  Unable to create directory 'Kubernetes_Backups_-_TEST_PLC-ppdm-01-a2e89/PLCTLP-694fb9a3-e763-4352-8b08-e0b323f863f0/Stagings/e6e4041f-3e15-47bf-b03c-9128d568a63c/mysql/1731594897013233316':  [5005] No space left on device","Verify that the PowerProtect DD System is fully functional and that the DD Boost ports are open between the Kubernetes cluster and the PowerProtect DD System."
"PROTECT","FAILED","Kubernetes Backups - TEST PLC","ABK0018","","isilon","KUBERNETES","The backup of this Kubernetes namespace was not successful because of a problem on the protection storage.","Unable to back up namespace 'isilon' in Kubernetes cluster 'Cluster-01' because of a protection storage issue.","Unable to setup backup.  Unable to create directory 'Kubernetes_Backups_-_TEST_PLC-ppdm-01-a2e89/PLCTLP-694fb9a3-e763-4352-8b08-e0b323f863f0/Stagings/e6e4041f-3e15-47bf-b03c-9128d568a63c/isilon/1731594899213259241':  [5005] No space left on device","Verify that the PowerProtect DD System is fully functional and that the DD Boost ports are open between the Kubernetes cluster and the PowerProtect DD System."
"PROTECT","FAILED","SQL Backups -TEST PLC","ABA0002","sqlaag-01.demo.local","master","","The protection policy backup was unsuccessful because of an agent issue.","SQL Backups -TEST PLC: Unable to backup MICROSOFT_SQL_DATABASE asset master on host sqlaag-01.demo.local to storage target SQL_Backups_-TEST_PLC-ppdm-01-f0af0 because of an agent issue.","Protection policy backup was unsuccessful because the Agent failed with the following error: Backup of database on host and instance is unsuccessful because of an internal server error. Check the ddbmsqlsv logs available in MSAPPAGENT logs directory on the host for more details.","Click export log and review the log file to determine the status of the job or check agent logs for more details."
"PROTECT","FAILED","Virtual Machines -Crash consistent -Test PLC","ABV0026","esxi03-7.demo.local","SQL-03","","The VM Direct engine cannot complete the backup of this virtual machine because of a protection storage capacity issue on the PowerProtect DD.","The VM Direct engine 'localhost' is unable to back up the virtual machine 'SQL-03' on vCenter 'VCenter' because the available space on the protection storage system 'ddve-01.demo.local' is insufficient.","Cannot create export directory 'Virtual_Machines_-Crash_consistent_--ppdm-01-ef2c3/PLCTLP-526629ba-5227-4c6f-a26d-0ff368976ef4/Stagings/4c6e8a0d-b323-44bf-b12b-da850be18bc5/50000322-fb7b-d1bb-c5c5-4c1e1a1de9d2/1731594899908609267' on 'ddve-01.demo.local':  [5005] No space left on device","Check the protection storage system to determine if there is enough free space for the operation. The PowerProtect DD Administration Guide provides more information on how to reclaim space."
"PROTECT","FAILED","Virtual Machines -Crash consistent -Test PLC","ABV0026","esxi03-7.demo.local","sqlaag-01","","The VM Direct engine cannot complete the backup of this virtual machine because of a protection storage capacity issue on the PowerProtect DD.","The VM Direct engine 'localhost' is unable to back up the virtual machine 'sqlaag-01' on vCenter 'VCenter' because the available space on the protection storage system 'ddve-01.demo.local' is insufficient.","Cannot create export directory 'Virtual_Machines_-Crash_consistent_--ppdm-01-ef2c3/PLCTLP-526629ba-5227-4c6f-a26d-0ff368976ef4/Stagings/4c6e8a0d-b323-44bf-b12b-da850be18bc5/501f6f2d-3c47-e607-dbb3-1476169035a7/1731594899959693456' on 'ddve-01.demo.local':  [5005] No space left on device","Check the protection storage system to determine if there is enough free space for the operation. The PowerProtect DD Administration Guide provides more information on how to reclaim space."
"PROTECT","FAILED","Virtual Machines -Crash consistent -Test PLC","ABV0026","esxi03-7.demo.local","Isilon","","The VM Direct engine cannot complete the backup of this virtual machine because of a protection storage capacity issue on the PowerProtect DD.","The VM Direct engine 'localhost' is unable to back up the virtual machine 'Isilon' on vCenter 'VCenter' because the available space on the protection storage system 'ddve-01.demo.local' is insufficient.","Cannot create export directory 'Virtual_Machines_-Crash_consistent_--ppdm-01-ef2c3/PLCTLP-526629ba-5227-4c6f-a26d-0ff368976ef4/Stagings/4c6e8a0d-b323-44bf-b12b-da850be18bc5/50139ae6-8079-5090-cda7-5591eb2a2032/1731594899933104972' on 'ddve-01.demo.local':  [5005] No space left on device","Check the protection storage system to determine if there is enough free space for the operation. The PowerProtect DD Administration Guide provides more information on how to reclaim space."
"PROTECT","FAILED","Kubernetes Backups - TEST PLC","ABK0018","","postgres","KUBERNETES","The backup of this Kubernetes namespace was not successful because of a problem on the protection storage.","Unable to back up namespace 'postgres' in Kubernetes cluster 'Cluster-01' because of a protection storage issue.","Unable to setup backup.  Unable to create directory 'Kubernetes_Backups_-_TEST_PLC-ppdm-01-a2e89/PLCTLP-694fb9a3-e763-4352-8b08-e0b323f863f0/Stagings/e6e4041f-3e15-47bf-b03c-9128d568a63c/postgres/1731594920866188229':  [5005] No space left on device","Verify that the PowerProtect DD System is fully functional and that the DD Boost ports are open between the Kubernetes cluster and the PowerProtect DD System."
"PROTECT","FAILED","SQL Backups -TEST PLC","ABA0002","sqlaag-02.demo.local","master","","The protection policy backup was unsuccessful because of an agent issue.","SQL Backups -TEST PLC: Unable to backup MICROSOFT_SQL_DATABASE asset master on host sqlaag-02.demo.local to storage target SQL_Backups_-TEST_PLC-ppdm-01-f0af0 because of an agent issue.","Protection policy backup was unsuccessful because the Agent failed with the following error: Backup of database on host and instance is unsuccessful because of an internal server error. Check the ddbmsqlsv logs available in MSAPPAGENT logs directory on the host for more details.","Click export log and review the log file to determine the status of the job or check agent logs for more details."
"PROTECT","FAILED","Virtual Machines -Crash consistent -Test PLC","ABV0026","esxi03-7.demo.local","Exchange","","The VM Direct engine cannot complete the backup of this virtual machine because of a protection storage capacity issue on the PowerProtect DD.","The VM Direct engine 'localhost' is unable to back up the virtual machine 'Exchange' on vCenter 'VCenter' because the available space on the protection storage system 'ddve-01.demo.local' is insufficient.","Cannot create export directory 'Virtual_Machines_-Crash_consistent_--ppdm-01-ef2c3/PLCTLP-526629ba-5227-4c6f-a26d-0ff368976ef4/Stagings/4c6e8a0d-b323-44bf-b12b-da850be18bc5/502f3a1b-c525-c168-d635-458eb6542c7e/1731594928084810016' on 'ddve-01.demo.local':  [5005] No space left on device","Check the protection storage system to determine if there is enough free space for the operation. The PowerProtect DD Administration Guide provides more information on how to reclaim space."
"PROTECT","FAILED","Virtual Machines -Crash consistent -Test PLC","ABV0026","esxi03-7.demo.local","VMware vCenter Server","","The VM Direct engine cannot complete the backup of this virtual machine because of a protection storage capacity issue on the PowerProtect DD.","The VM Direct engine 'localhost' is unable to back up the virtual machine 'VMware vCenter Server' on vCenter 'VCenter' because the available space on the protection storage system 'ddve-01.demo.local' is insufficient.","Cannot create export directory 'Virtual_Machines_-Crash_consistent_--ppdm-01-ef2c3/PLCTLP-526629ba-5227-4c6f-a26d-0ff368976ef4/Stagings/4c6e8a0d-b323-44bf-b12b-da850be18bc5/52798cf3-8550-686b-9b30-3ad738e468a6/1731594928287951751' on 'ddve-01.demo.local':  [5005] No space left on device","Check the protection storage system to determine if there is enough free space for the operation. The PowerProtect DD Administration Guide provides more information on how to reclaim space."
"PROTECT","FAILED","Virtual Machines -Crash consistent -Test PLC","ABV0026","esxi03-7.demo.local","sqlaag-02","","The VM Direct engine cannot complete the backup of this virtual machine because of a protection storage capacity issue on the PowerProtect DD.","The VM Direct engine 'localhost' is unable to back up the virtual machine 'sqlaag-02' on vCenter 'VCenter' because the available space on the protection storage system 'ddve-01.demo.local' is insufficient.","Cannot create export directory 'Virtual_Machines_-Crash_consistent_--ppdm-01-ef2c3/PLCTLP-526629ba-5227-4c6f-a26d-0ff368976ef4/Stagings/4c6e8a0d-b323-44bf-b12b-da850be18bc5/501f52ae-4cc5-59a3-42e9-018e757a20f3/1731594928204218893' on 'ddve-01.demo.local':  [5005] No space left on device","Check the protection storage system to determine if there is enough free space for the operation. The PowerProtect DD Administration Guide provides more information on how to reclaim space."
"PROTECT","FAILED","Virtual Machines -Crash consistent -Test PLC","AERR0019","","VMware vCenter Server","VCENTER","This task is unsuccessful because internal issue happens at service side.","This task is unsuccessful because internal issue happens at service side.","","To troubleshoot this issue: wait for some time and then retry the operation again. If the issue persists, contact Dell Customer Support."
"PROTECT","FAILED","Virtual Machines -Crash consistent -Test PLC","AERR0019","","Exchange","VCENTER","This task is unsuccessful because internal issue happens at service side.","This task is unsuccessful because internal issue happens at service side.","","To troubleshoot this issue: wait for some time and then retry the operation again. If the issue persists, contact Dell Customer Support."
"PROTECT","FAILED","Virtual Machines -Crash consistent -Test PLC","AERR0019","","PPDM-01","VCENTER","This task is unsuccessful because internal issue happens at service side.","This task is unsuccessful because internal issue happens at service side.","","To troubleshoot this issue: wait for some time and then retry the operation again. If the issue persists, contact Dell Customer Support."
"PROTECT","FAILED","Virtual Machines -Crash consistent -Test PLC","AERR0019","","sqlaag-02","VCENTER","This task is unsuccessful because internal issue happens at service side.","This task is unsuccessful because internal issue happens at service side.","","To troubleshoot this issue: wait for some time and then retry the operation again. If the issue persists, contact Dell Customer Support."
"PROTECT","FAILED","SQL Backups -TEST PLC","ABA0002","SQL-02.demo.local","msdb","","The protection policy backup was unsuccessful because of an agent issue.","SQL Backups -TEST PLC: Unable to backup MICROSOFT_SQL_DATABASE asset msdb on host SQL-02.demo.local to storage target SQL_Backups_-TEST_PLC-ppdm-01-f0af0 because of an agent issue.","Protection policy backup was unsuccessful because the Agent failed with the following error: Backup of database on host and instance is unsuccessful because of an internal server error. Check the ddbmsqlsv logs available in MSAPPAGENT logs directory on the host for more details.","Click export log and review the log file to determine the status of the job or check agent logs for more details."
"PROTECT","FAILED","SQL Backups -TEST PLC","ABA0002","SQL-02.demo.local","model","","The protection policy backup was unsuccessful because of an agent issue.","SQL Backups -TEST PLC: Unable to backup MICROSOFT_SQL_DATABASE asset model on host SQL-02.demo.local to storage target SQL_Backups_-TEST_PLC-ppdm-01-f0af0 because of an agent issue.","Protection policy backup was unsuccessful because the Agent failed with the following error: Backup of database on host and instance is unsuccessful because of an internal server error. Check the ddbmsqlsv logs available in MSAPPAGENT logs directory on the host for more details.","Click export log and review the log file to determine the status of the job or check agent logs for more details."
"PROTECT","FAILED","SQL Backups -TEST PLC","ABA0002","SQL-02.demo.local","SQLPROD-02","","The protection policy backup was unsuccessful because of an agent issue.","SQL Backups -TEST PLC: Unable to backup MICROSOFT_SQL_DATABASE asset SQLPROD-02 on host SQL-02.demo.local to storage target SQL_Backups_-TEST_PLC-ppdm-01-f0af0 because of an agent issue.","Protection policy backup was unsuccessful because the Agent failed with the following error: Backup of database on host and instance is unsuccessful because of an internal server error. Check the ddbmsqlsv logs available in MSAPPAGENT logs directory on the host for more details.","Click export log and review the log file to determine the status of the job or check agent logs for more details."
"PROTECT","FAILED","NAS Backups - TEST PLC","ABNA0020","","/ifs/data/csi/k8s-33b51b73dd","","The existence of the target asset cannot be validated.","Unable to complete a SNAPSHOT_AND_SLICE operation because the location for asset /ifs/data/csi/k8s-33b51b73dd could not be validated in PowerScale/Isilon NAS 192.168.1.108.","NAS vProxy Engine nas-proxy.demo.local is unable to perform SnapshotAndSlice operation for nasShare /ifs/data/csi/k8s-33b51b73dd. ||||||Error Details:||| TaskId: 8857c8d8-e01c-4ea5-be83-c232fc31f8bd, JobId 8857c8d8-e01c-4ea5-be83-c232fc31f8bd ||| NAS agent error code 'ABNA0020'. Unable to complete the 'SNAPSHOT_AND_SLICE' operation because the location for asset '/ifs/data/csi/k8s-33b51b73dd' could not be validated in PowerScale/Isilon NAS '192.168.1.108'.. |||","Connect to the PowerScale/Isilon NAS and verify that the share exists. |||From the PowerProtect Data Manager Asset Source page, perform an on-demand discovery of assets from this asset source."
"PROTECT","FAILED","NAS Backups - TEST PLC","ABNA0020","","/ifs/data/csi/k8s-0aa9eb47f2","","The existence of the target asset cannot be validated.","Unable to complete a SNAPSHOT_AND_SLICE operation because the location for asset /ifs/data/csi/k8s-0aa9eb47f2 could not be validated in PowerScale/Isilon NAS 192.168.1.108.","NAS vProxy Engine nas-proxy.demo.local is unable to perform SnapshotAndSlice operation for nasShare /ifs/data/csi/k8s-0aa9eb47f2. ||||||Error Details:||| TaskId: 96005fb6-2159-43a4-9233-1ca5bc46e5a0, JobId 96005fb6-2159-43a4-9233-1ca5bc46e5a0 ||| NAS agent error code 'ABNA0020'. Unable to complete the 'SNAPSHOT_AND_SLICE' operation because the location for asset '/ifs/data/csi/k8s-0aa9eb47f2' could not be validated in PowerScale/Isilon NAS '192.168.1.108'.. |||","Connect to the PowerScale/Isilon NAS and verify that the share exists. |||From the PowerProtect Data Manager Asset Source page, perform an on-demand discovery of assets from this asset source."
"PROTECT","FAILED","NAS Backups - TEST PLC","ABNA0020","","/ifs/data/csi/k8s-418144021c","","The existence of the target asset cannot be validated.","Unable to complete a SNAPSHOT_AND_SLICE operation because the location for asset /ifs/data/csi/k8s-418144021c could not be validated in PowerScale/Isilon NAS 192.168.1.108.","NAS vProxy Engine nas-proxy.demo.local is unable to perform SnapshotAndSlice operation for nasShare /ifs/data/csi/k8s-418144021c. ||||||Error Details:||| TaskId: 1e3c2f2e-dba1-44b3-a958-c6ae530a33d0, JobId 1e3c2f2e-dba1-44b3-a958-c6ae530a33d0 ||| NAS agent error code 'ABNA0020'. Unable to complete the 'SNAPSHOT_AND_SLICE' operation because the location for asset '/ifs/data/csi/k8s-418144021c' could not be validated in PowerScale/Isilon NAS '192.168.1.108'.. |||","Connect to the PowerScale/Isilon NAS and verify that the share exists. |||From the PowerProtect Data Manager Asset Source page, perform an on-demand discovery of assets from this asset source."
"PROTECT","FAILED","Virtual Machines -Crash consistent -Test PLC","ABV0026","esxi01-7.demo.local","k8-master01","","The VM Direct engine cannot complete the backup of this virtual machine because of a protection storage capacity issue on the PowerProtect DD.","The VM Direct engine 'localhost' is unable to back up the virtual machine 'k8-master01' on vCenter 'VCenter' because the available space on the protection storage system 'ddve-01.demo.local' is insufficient.","Cannot create export directory 'Virtual_Machines_-Crash_consistent_--ppdm-01-ef2c3/PLCTLP-526629ba-5227-4c6f-a26d-0ff368976ef4/Stagings/4c6e8a0d-b323-44bf-b12b-da850be18bc5/501f25a4-72e6-34bf-fd80-0efdac900bd2/1731594990391754007' on 'ddve-01.demo.local':  [5005] No space left on device","Check the protection storage system to determine if there is enough free space for the operation. The PowerProtect DD Administration Guide provides more information on how to reclaim space."
"PROTECT","FAILED","Virtual Machines -Crash consistent -Test PLC","AERR0019","","k8-master01","VCENTER","This task is unsuccessful because internal issue happens at service side.","This task is unsuccessful because internal issue happens at service side.","","To troubleshoot this issue: wait for some time and then retry the operation again. If the issue persists, contact Dell Customer Support."
"PROTECT","FAILED","Virtual Machines -Crash consistent -Test PLC","ABV0026","esxi01-7.demo.local","k8-node01","","The VM Direct engine cannot complete the backup of this virtual machine because of a protection storage capacity issue on the PowerProtect DD.","The VM Direct engine 'localhost' is unable to back up the virtual machine 'k8-node01' on vCenter 'VCenter' because the available space on the protection storage system 'ddve-01.demo.local' is insufficient.","Cannot create export directory 'Virtual_Machines_-Crash_consistent_--ppdm-01-ef2c3/PLCTLP-526629ba-5227-4c6f-a26d-0ff368976ef4/Stagings/4c6e8a0d-b323-44bf-b12b-da850be18bc5/501ff233-101a-7719-e1a6-5f0964cdd7e8/1731595021451220419' on 'ddve-01.demo.local':  [5005] No space left on device","Check the protection storage system to determine if there is enough free space for the operation. The PowerProtect DD Administration Guide provides more information on how to reclaim space."
"PROTECT","FAILED","Virtual Machines -Crash consistent -Test PLC","AERR0019","","k8-node01","VCENTER","This task is unsuccessful because internal issue happens at service side.","This task is unsuccessful because internal issue happens at service side.","","To troubleshoot this issue: wait for some time and then retry the operation again. If the issue persists, contact Dell Customer Support."
"CONFIG","FAILED","Virtual Machines -Crash consistent -Test PLC","ABV0025","","win-10","","The VM Direct engine cannot complete protection of this virtual machine because the protection configuration was unsuccessful.","VM Direct engine is unable to configure protection for the virtual machine 'win-10' on vCenter 'VCenter'.","Unable to configure protection for the asset because SCSI sharing and is not supported.","Review the error details and summary log in the Jobs window, or export the job logs and review the log files for more information. If the issue persists, contact Dell Customer Support."
"PROTECT","FAILED","Virtual Machines -Crash consistent -Test PLC","ABV0025","","win-10","VCENTER","The VM Direct engine cannot complete protection of this virtual machine because the protection configuration was unsuccessful.","VM Direct engine is unable to configure protection for the virtual machine 'win-10' on vCenter 'VCenter'.","Unable to configure protection for the asset because SCSI sharing and is not supported.","Review the error details and summary log in the Jobs window, or export the job logs and review the log files for more information. If the issue persists, contact Dell Customer Support."
"PROTECT","FAILED","NAS Backups - TEST PLC","ABNA0013","","win-share02","","A stub file cannot be created on the PowerProtect DD System to get a unique transaction ID backup.","Unable to complete the SNAPSHOT_AND_SLICE operation because a backup copy ID for share win-share02 could not be generated.","NAS vProxy Engine nas-proxy.demo.local is unable to perform SnapshotAndSlice operation for nasShare win-share02. ||||||Error Details:||| TaskId: b5d4d388-8da1-4c01-9f4b-0349864d92d3, JobId b5d4d388-8da1-4c01-9f4b-0349864d92d3 ||| NAS agent error code 'ABNA0013'. Unable to create a save set with a timestamp: 1731595086493925189.|||. |||","To troubleshoot this issue: |||1) Check for connectivity between the PowerProtect DD system, PowerProtect Data Manager, and the NAS protection engine. |||2) Verify that there is enough storage space on the PowerProtect DD system and that the corresponding Storage Unit (SU) is accessible. |||3) Retry the operation. If the issue persists, contact Dell Customer Support."
"PROTECT","FAILED","Filesystem Backups -TEST PLC","ABA0002","win-11.demo.local","F:\\","","The protection policy backup was unsuccessful because of an agent issue.","Filesystem Backups -TEST PLC: Unable to backup FILE_SYSTEM asset F:\\ on host win-11.demo.local to storage target Filesystem_Backups_-TEST_PLC-ppdm-01-b89b3 because of an agent issue.","Protection policy backup was unsuccessful because the Agent failed with the following error: SQLite database initialization failed.","Click export log and review the log file to determine the status of the job or check agent logs for more details."
"PROTECT","FAILED","Filesystem Backups -TEST PLC","ABA0002","win-11.demo.local","C:\\","","The protection policy backup was unsuccessful because of an agent issue.","Filesystem Backups -TEST PLC: Unable to backup FILE_SYSTEM asset C:\\ on host win-11.demo.local to storage target Filesystem_Backups_-TEST_PLC-ppdm-01-b89b3 because of an agent issue.","Protection policy backup was unsuccessful because the Agent failed with the following error: SQLite database initialization failed.","Click export log and review the log file to determine the status of the job or check agent logs for more details."
"PROTECT","FAILED","Filesystem Backups -TEST PLC","ABA0002","win-10.demo.local","E:\\","","The protection policy backup was unsuccessful because of an agent issue.","Filesystem Backups -TEST PLC: Unable to backup FILE_SYSTEM asset E:\\ on host win-10.demo.local to storage target Filesystem_Backups_-TEST_PLC-ppdm-01-b89b3 because of an agent issue.","Protection policy backup was unsuccessful because the Agent failed with the following error: SQLite database initialization failed.","Click export log and review the log file to determine the status of the job or check agent logs for more details."
"PROTECT","FAILED","Filesystem Backups -TEST PLC","ABA0002","win-01.demo.local","DISASTER_RECOVERY:\\","","The protection policy backup was unsuccessful because of an agent issue.","Filesystem Backups -TEST PLC: Unable to backup FILE_SYSTEM asset DISASTER_RECOVERY:\\ on host win-01.demo.local to storage target Filesystem_Backups_-TEST_PLC-ppdm-01-b89b3 because of an agent issue.","Protection policy backup was unsuccessful because the Agent failed with the following error: SQLite database initialization failed.","Click export log and review the log file to determine the status of the job or check agent logs for more details."
"PROTECT","FAILED","Filesystem Backups -TEST PLC","ABA0002","win-11.demo.local","DISASTER_RECOVERY:\\","","The protection policy backup was unsuccessful because of an agent issue.","Filesystem Backups -TEST PLC: Unable to backup FILE_SYSTEM asset DISASTER_RECOVERY:\\ on host win-11.demo.local to storage target Filesystem_Backups_-TEST_PLC-ppdm-01-b89b3 because of an agent issue.","Protection policy backup was unsuccessful because the Agent failed with the following error: SQLite database initialization failed.","Click export log and review the log file to determine the status of the job or check agent logs for more details."
"PROTECT","FAILED","Filesystem Backups -TEST PLC","ABA0002","win-10.demo.local","C:\\","","The protection policy backup was unsuccessful because of an agent issue.","Filesystem Backups -TEST PLC: Unable to backup FILE_SYSTEM asset C:\\ on host win-10.demo.local to storage target Filesystem_Backups_-TEST_PLC-ppdm-01-b89b3 because of an agent issue.","Protection policy backup was unsuccessful because the Agent failed with the following error: SQLite database initialization failed.","Click export log and review the log file to determine the status of the job or check agent logs for more details."
